Ventilador De Mesa Arno Vf Preto E Pás De Cor Prata, 50cm De Diâmetro 127v
nao entendi nada...no mercado livre..a regra nao eh de 30 dias????,"..."
nossa..mas o mercado livre me da 30 dias de garantia..pq vc só da 7??,"Direito do consumidor."
Pode usar deitado,"Olá. Ele mantém a nebulização por até 10 segundos em determinadas posições. Indico assistir o vídeo do link a seguir para ver as muitas vantagens que esse produto pode te proporcionar: http://youtu.be/AFfpheu5EmA. Agradecemos o seu contato. Equipe FOCUSMEDICALL"
É igual aos outros inaladores? Vem com carregador pra usar e. Tomada tbm?,"Bom dia, o diferencial dele está na absorção do medicamento por ter uma névoa muito fininha que penetra melhor nos pulmões; é o que tem de mais avançado até o momento em tecnologia. Ele é portátil, isentando o uso de tomadas. Com funcionamento à pilhas este nebulizador tem até 4 horas de autonomia. Super compacto e prático. Caso haja mais dúvidas sobre o NEBMESH I nos colocamos à disposição. Agradecemos o seu contato."
se vier quebrado entao eu tenho q levar onde? onde fica a assitencia tecnica? jah q vc nao tem mais..,"Bom dia, junto ao produto esta incluso as informações de como prosseguir caso precise acionar a assistência técnica. A nossa empresa sempre oferece todo o suporte em necessário. Dentro dos 7 dias após o recebimento fazemos a troca ou o reembolso do valor total. Este produto esta sendo sempre reposto em nosso estoque. Agradecemos o seu contato."
mas e ai se quebrar? vc nao vai ter outro para trocar? sempre q eh a ultima unidade pessoal custura dar de 30 a 40% de desconto,"Olá o nosso estoque não esta limitado a esta plataforma apenas. A garantia é coberta pelo fornecedor, se ainda houvesse a possibilidade de um desconto ainda maior do que já é oferecido aqui o produto ainda assim teria garantia. Caso ainda exista dúvidas nos colocamos a disposição . Agradecemos o seu contato."
top dog! já q esse é o ultimo..tem aquele descontinho?,"Não."
tem anvisa?,"Bom dia! Sim tem o registro da ANVISA! Agradecemos o seu contato."
----
Máquina De Costura Steammax Sm-500 Branca 110v/220v
Question,Answer
Da pra fazer máscara??,"sim"
De onde vem?  pois o frete diz que é 30 dias pra eu receber a mercadoria.,"Itapevi/SP"
quantos cm tem ela ?,"19,5 x 11,5 x 21 cm"
Ela vem com acelerador de pé,"Boa tarde, sim a maquina acompanha pedal"
Qualquer tipo. Qual tipo ela costura?,"Não entendemos sua pergunta. Ela costura somente reta."
É que eu estou precisando desta máquina para ontem.,"Dependemos dos prazos de entrega dos correios"
Tem como eu mesmo retirar o produto?,"Boa tarde, sim. Estamos no Taboão da Serra/SP"
Boa noite gostaria de saber se essa máquina é nova pois há uns dois dias Comprei uma máquina de um outro vendedor mas ela veio com uma peça chamada ajuste tensor quebrada e precisei devolvê-la pois descobri que a máquina já havia sido usada e depois revendido para mim as suas máquinas são todas nova...,"Boa tarde, o produto é novo"
qual o tamanho dela ?,"19,5 cm x 11,5 cm x 21 cm"
ela é  de pedal?,"Boa tarde, sim...Acompanha pedal"
Boa tarde quero saber qual é o peso da máquina,"0,7 kg"
serve para costurar roupas? Como fazer calças  saias  blusas e etc,"Bom dia. Ela possui apenas um ponto. Perfeita para rapidos reparos"
Bom dia! Tem a pronta entrega?,"Bom dia. Sim!"
Quais as dimensões?,"19.5x11.5x21cm"
Falou que não tinha mais,"TEmos disponivel"
Ela costura malha?,"Qual tipo de malha?"
ela costura igualmente as outras grandes,"Ela é perfeita para rapidos reparos e tem apenas 01 ponto"
Da pra fazer baínha de calca jeans?,"Boa tarde. Sim"
Boa tarde vocês atende em qual região de São Paulo? Se eu fizer uma compra de uma máquina com vocês tem como eu mesmo retirar,"Taboão da Serra"
Quem faz sua entrega.Porque tive umproblema com isso esses dias.Mercado livre ou o vendedor colocou pela total express transportadora nao entrego.Tive que cancelar a compra pois enrolaram e nao entregaram.,"Correios"
Eu comprei e o mercado livre devolveu meu dinheiro,"Qaul o motivo?"
forma de pagamento,"Depende do local da compra."
esta máquina costura jeans?,"Bom dia. Sim."
essa máquina branca com rosa tem lampada ?,"Bom dia. Não!"
Quero saber se ven com o pedal,"Bom dia. Sim!"
A maquina ja ven com o pedal?,"Bom dia. Sim!"
formas de envio,"Correios"
e de boa qualidade,"Bom dia. Sim!"
boa noite . ja tenho uma maquina desta quebrou o pinhão de 9 dentes   onde posso comprar obrigado,"<p style="display: inline-block;font-family:Helvetica,Arial,'sans-serif';font-size:13px;line-height:17px;background: url('http://static.mlstatic.com/org-img/ch/ui/0.10.7/assets/icons.png') no-repeat;border-radius: 3px;border-style: solid;border-width: 1px;margin: 0 0 5px;padding: 8px 10px 8px 34px;text-shadow: 0 1px 0 rgba(255, 255, 255, 0.5);background-color: #FCF8CB;background-position: -225px -101px;border-color: #E4E2B8;">Tivemos que excluir esta resposta porque não está de acordo com as nossas <a href="https://www.mercadolivre.com.br/ajuda/politicas-para-cadastramento-de-produtos_1002">Políticas para Cadastramento de Anúncios</a>.</p>"
É um produto de fácil acesso a peças se precisar de concerto?,"Bom dia. Sim!"
Ok. Muito obrigada!,"Nós q"
tem motor,"Boa noite. Sim!"
tem motor essa máquina,"Boa noite, sim!"
esse produto costura jeans??,"Boa noite, sim!"
Oi essa maquina vem o kit de agulha e carretilha,"Boa noite, segue abaixo os acessórios que acompanha a maquina. "8 Acessórios Exclusivos • 04 Bobinas • Enfiador de Linha • Agulha • Adaptador • Pedal"
Ela vem com pedal motor  É fácil de passar a linha nela ?,"Boa noite. Sim"
Boa tarde.  Essa máquina vem com pedal?,"Boa noite. Sim"
Vem com o pedal ?,"Boa noite, sim!"
Ela tece   costura cabelo ?,"Boa noite, não!"
----
Nebulizador Compressor G-tech Nebdog Azul 110v/220v
Question,Answer
Voces vendem creme facial Nivea?,"bom dia, não"
Ok,"Ok"
E o valor está diferente tbm,"Bom dia. Não conseguimos entender a sua colocação."
Pq o azul está cobrando frete e o rosa não? Se o azul ficar na mesma condições eu compro agora,"vou verificar no sistema"
boa noite e um produto bom,"Olá, sim a marca G-tech é excelente. Agradecemos o seu contato."
Você vende a mascara adulto separado?,"Boa tarde, não vendemos. Agradecemos o seu contato."
Onde fica esse número?,"Olá, boa tarde! Qual número?"
Fiz a compra esta agendado pagamento para amanhã  mais esqueci de mudar o endereço para onde estou agora devido ao vírus corona o que eu faço?,"Olá, bom dia! Qual o número de seu pedido?"
Fiz a compra esta agendado pagamento para amanhã  mais esqueci de mudar o endereço para onde estou agora devido ao vírus corona o que eu faço?,"Olá, bom dia! Qual o número de seu pedido?"
Fiz a compra esta agendado pagamento para amanhã  mais esqueci de mudar o endereço para onde estou agora devido ao vírus corona o que eu faço?,"Olá, bom dia! Informamos que seu pedido será enviado para o endereço cadastrado. Quando o pedido foi realizado? O mesmo já foi enviado?"
qual a diferença em mobilizador e inalador ?,"Na verdade não há uma diferença prática entre os dois, sendo que nebulizador é um termo menos usado e menos conhecido, e foi substituído pela maioria das pessoas pelo termo inalador, por ser mais simples e fazer mais sentido com a função do aparelho em si"
e bivolt?,"OIá, bom dia! É sim. Qualquer dúvida ficamos à disposição."
Liguei no 220v enquanto a chave estava para 110v  o que eu faço? Ele parou de funcionar!,"Olá, bom dia! Uma vez que o produto não foi ligado corretamente. Será necessário acionar a garantia de fábrica. Devido ao uso incorreto da voltagem não podemos realizar a troca. Qualquer dúvida ficamos à disposição."
Eu liguei no 220v quando a chave dele estava para 110v  o que eu faço? Ele não está funcionando mais.,"Olá, bom dia! Será necessário acionar a garantia de fábrica. Devido ao uso incorreto da voltagem não podemos realizar a troca. Qualquer dúvida ficamos à disposição."
Bom dia  tem a pronta entrega ?,"Olá, sim temos e entregamos em todo o Brasil."
disponível para todas as regiões?,"Entregamos em todo o Brasil. Obrigado."
E que a minha filha e BB tem 3 Meses só mais do queria saber se tem como usar até quandov ficar  mais velha,"Olá caro cliente, sim. Pode ser usado em crianças até 12 anos. Obrigado."
Vc tem desse modelo do cachorrinho silencioso??,"Olá caro cliente, somente este da foto com as mesmas especificações. Obrigado."
Bom dia  até quantos anos de idade  ele poder ser usado?,"Olá, bom dia! Ele pode ser utilizado por crianças, o mesmo tem apenas a ,mascara de tamanho infantil. Qualquer dúvida ficamos à disposição."
bom dia uma pessoa nós comentários informar ser barulhento outra informa que é silêncioso afinal tem o nível de ruído?,"Olá, bom dia! Todos os aparelhos tem um baixo ruido."
Boa noite ele é 220wats? Ele tem o manual?,"Olá, bom dia! Ele é bivolt aceitando 110v ou 220v Qualquer dúvida ficamos à disposição."
Oi boa noite e nebulizador e inalador? se fazo pagamento agora cuando me chega e produto eu moro na cpe 02073050,"Olá são os dois . Quanto ao prazo de entrega, é informado ao inserir no carrinho o cep de destino. Obrigadp."
Vc vende so o conjunto da máscara?,"Olá, somente completo. Obrigado"
Olá vc tem na cor rosa ?,"Olá sim temos. Obrigado."
Vem com máscara para adultos tbm?,"mascara infanil"
Vem com máscara para adultos tbm?,"mascara infantil"
Vem com máscara para adultos tbm?,"mascara infantil"
Vem com máscara para adultos tbm?,"bom dia, vem so a mascara infantil"
----
Mouse Multilaser Mo251 Preto
Question,Answer
o mouse é bluetooth? funciona com o ipad?,"sim o mouse é bluetooth, porém ele tem um dispositivo usb que faz leitura com o mesmo, se o ipad ter conexão usb. pode dar certo"
Olá bom dia ele é entrada usb,"Bom dia, sim ele é sem fio e o receptor de sinal é USB"
É de pilha ou bateria?,"Boa noite! Pilha AAA"
GENTE É SÓ ME DAR UM CUPOM DE DESCONTO QUE EU FICO FELIZ E MEU CARTÃO TAMBÉM. AGRADECEMOS.,"Não disponibilizamos cupons"
Este mouse e sem fio,"Boa tarde, sim."
Gente é um carrinho de 180 reais de produto que eu não finalizei porque tem um frete de 70 em cima,"Entendo, mas é o sistema que calcula não tem como fazer alterações"
Tem algum desconto de frete? 70 00 me quebrou. O valor é muito alto pelo valor dos produtos. Ajuda eu a comprar,"Não podemos da desconto, o frete é calculado pelo sistema"
BOM DIA COMO EU ACESSO O FRETE GRÁTIS A PARTIR DE 120? MEU CARRINHO TEM 180 00 DE PRODUTOS DE VOCÊS  MAS 70 00 DE FRETE.,"Boa tarde! A plataforma Olist que vendemos são varios vendedores de todo o brasil por esse motivo não tem frete gratis acima de 120 reais"
Obrigado !,"Disponha"
Esse mouse é sem fio?,"Boa noite! Sim"
É bluetooth????,"Ola, Boa tarde! Ele tem um receptor de sinal usb"
Qual a pilha para carregamento do mouse ?,"O Mouse Utiliza 2 pilhas AAA"
tem fio/conexão USB?,"Ola, Bom dia! O Mouse é sem fio e o receptor de sinal é USB."
W,"W"
Ele funciona com fio e sem fio?,"Boa noite! Funciona somente sem fio"
funciona no mac?,"Ele tem entrada USB, creio que sim, pois ele é universal, nunca testamos"
boa tarde. é preciso configurar?,"Não, ele é autoconfiguravel"
estou esperando a atualização dos valores que você falou  assim que alterar eu faço uma nova simulação  pois vou incluir mais coisas.,"Atualizamos mas a plataforma ainda não demora dentre dois a três dias úteis..."
Tem como compra um mouse e um teclado(cm vc) .E ter um único frente para ambos??,"Faça simulação se o Sr consegue colocar no carrinho"
Boa tarde. Sem fio? É via Bluetooth?,"Boa tarde! Sim, sem fio via bluetooth"
e os produtos tá dando 75 89$,"Entendo"
continua a mesma coisa  da quase 40$ só de frete dos itens.,"É que atualizamos hj...ainda não deu o prazo... queria muito atende lá"
tudo bem  caso consiga a redução de valor dos itens ou frete  eu finalizo a compra.,"BOA TARDE!!! FAÇA A SIMULAÇAO.... J´S ALTERAMOS PARA O PESO CORRETO"
sim  entendo.  todos os produtos são da sua loja  os fretes tem preços diferentes e são somados na simulação  trata-se de um controle Universal  um mini teclado e um mouse sem fio. como posso prosseguir?,"Boa tarde! Eu me enganei e acabei colocando a informação errada, você apenas paga um valor de frete menor quando se trata do mesmo produto, o frete é calculado pela quantidade de caixas que serão enviadas e não é possível colocar produtos diferentes na mesma caixa, a plataforma nos exige que sejam caixas diferentes, visto que ela libera uma etiqueta para cada caixa em especifico, verei a possibilidade de reduzir o frete, mas não tem como eu afirmar que conseguirei porque infelizmente o frete não depende de nós."
Olá  tentei simular a compra e ainda tá somando os fretes  tem alguma regra na inclusão de um frete só  além dos produtos serem da mesma loja?,"Boa tarde! Os fretes só são inclusos quando são da mesma loja mesmo, o máximo que é feito é quando são da mesma cidade de origem, mas desta segunda forma ainda é difícil de ocorrer."
Bom dia. Como ele conecta com o note? Grato.,"Boa tarde! Ele possui um mini conector bluetooth com uma entrada USB e este conector interliga o mouse e o notebook, ele é parecido com um pendrive nano, qualquer outra dúvida estou aqui para ajudar!"
Bom dia  se tiver poderia me manda um link com as 2 pilhas AAA?,"Boa tarde! Infelizmente nós não trabalhamos com esta pilha, sendo assim não possuo o link para a mesma, mas creio que você achará facilmente ela no google, esta pilha é a pilha palito."
Olá  quero comprar dois itens da loja  mas os fretes estão sendo somados  não tem como ser um frete só?,"Vou analisar o Sr poderá testar amanhã de manhã , uma nova simulação"
----
Medidor De Pressão Arterial G-tech Bsp11
Question,Answer
Cê tá louco tava 116 subiu para 135,"Olá, como compramos o produto com aumento de preço devido à disparada do dólar e à falta no mercado graças ao coronavírus, mas preferimos continuar tendo em estoque para atender nossos clientes, não temos como mexer no preço. Contamos com sua compreensão e com sua compra!"
Quero desconto para comprar 2,"Bom dia, já esta com preço promocional. Aguardamos sua compra!"
?,"Boa tarde, qual dúvida?"
Compro duas unidades se tu fizer um desconto,"Ficamos à disposição!"
Tem desconto na compra de dois?,"Olá, bom dia! Já estamos com preço promocional nesse produto e não conseguimos mexer. Aguardamos sua compra!"
quanto tempo de garantia?,"Olá boa noite! Obrigado pelo contato, tem 5 anos de garantia de fábrica, aguardo sua compra"
Vou fazer a compra. Se o produto chegar sem o selo do SBC (sociedade brasileira de cardiologia) devolvo o produto e não pagarei frete algum. Combinado?,"Boa tarde. Esse produto NÃO tem selo da SBC. Registrado na ANVISA e INMETRO"
Tem aparelho de pressão recarregável me mande o lik,"Bom dia, somente a pilhas. Agradecemos o seu contato."
Tem aparelho de pressão recarregável me mande o lik,"Bom dia, somente a pilhas. Agradecemos o seu contato."
esse aparelho é a pilha ou recarregável na tomada?,"Boa tarde, esse aparelho funciona a pilha."
eu quero comprar um oxímetro digital junto com esse tensiômetro  e pagar um frete só. vcs tem aí?,"Boa tarde, sim! Segue o link https://produto.mercadolivre.com.br/MLB-1478220905-oximetro-digital-de-pulso-medidor-de-presso-bsp11-g-tech-_JM?quantity=1"
boa tarde  vcs tem oxímetro digital e termômetro infravermelho?,"Boa tarde, temos apenas o oxímetro segue o link https://produto.mercadolivre.com.br/MLB-1355551594-oximetro-digital-de-pulso-portatil-de-dedo-g-tech-oled-graph-_JM?quantity=1"
como dizem alguns comentários a braçadeira pode ficar apertada. É possível comprar uma maior para este aparelho? Como?,"Olá, boa tarde! Somente a do aparelho."
qual o prazo da garantia  do fabricante,"Boa tarde, 01 ano de garantia. Agradecemos o seu contato."
Esse medidor é de Braço ou pulso?,"Boa tarde, de braço. Agradecemos o seu contato."
Ele já vem com as pilhas?,"Boa tarde, sim já está incluso. Agradecemos o seu contato."
Qual tamanho do bracelete ?,"Bom dia, 22-36cm. Agradecemos o seu contato."
Produto com selo do Inmetro e SBC?,"Bom dia, sim. Agradecemos o seu contato."
Quanto tempo de garantia?,"1 ano pelo fabricante. Obrigado."
Vai vim escrito português ou em inglês?,"sim"
Vai,"sim"
Vai vim em escrito português ou em inglês?,"todo o manual vem em portugues"
Eu tenho a braçadeira   preciso do aparelho apenas. Meu aparelho queimou.,"Olá, so vendemos ele completo. Obrigado:)"
Boa tarde. Vc teria a abraçadeira maior para enviar com o tensiômetro?,"Olá por hora não, mas ja estamos vendo isso com o nosso compras. Obrigado."
Tem só o aparelho sem a braçadeira??,"Temos de pulso tambem. Marca omrom . Obrigado."
Esse medidor é de braço?,"boa tarde, sim de braço"
com esse aparelho da pra verificar a PA de um bebê ?,"Olá, não é recomendado . Favor consultar seu pediatra. Obrigado."
Subiu o valor?,"não"
Boa tarde quero fazer a compra em 12x s juros mas n estou encontrando a opção.,"precisa verificar a condição de pagamento no cartao"
Boa noite  por gentileza  preciso realizar uma compra p uma empresa e posteriormente  após teste  realizar a compra de várias unidades  porém p essa primeira compra  preciso de NF  seria possível? Obrigado,"sim, emitimos notas fiscais, obrigado"
quanto tempo de garantia?,"Olá, garantia de até 5 anos pelo fabricante. Obrigado."
Boa tarde  por gentileza  a braçadeira é de uso adulto?  Poderia informar o tamanho fazendo o favor? Obrigado,"Olá é tamanho adulto , ajustável. Obrigado."
Boa tarde Esse aparelho pode usar cabo usb?,"Olá, é a pilha e nao bateria. Obrigado."
03150020,"Bom dia, sim, coreto."
tem este produto com entrega rápida? eu ia comprar no seu outro anuncio  mais nao consegui,"qual é o seu cep"
qual o tamanho da medida do braço maxima,"Oi, braçadeira tamanho adulto para circunferência de braço de 22 a 36cm. Att. Equipe CirurgicaNSA"
----
Suporte Brasforma Sbrp130 De Parede Para Tv/monitor De 10  Até 55  Preto
Question,Answer
Esse suporte é articulável???,"Bom Dia!!!! Sr(a).JBANIN, Sim, este suporte é articulado. Agradecemos o contato!"
----
Roteador Tp-link Archer C60 Branco
Question,Answer
Oi boa noite fiz a compra de uma capa para um iPhone xr com vocês! tem como eu trocar por este produto e eu pagar a diferença?,"ja vejo"
----
Repetidor Tp-link Tl-wa850re Branco
Question,Answer

----
Medidor De Pressão Arterial Boas Lc-x003
Question,Answer
Qual valor do frete para 30865.490?  Não tem o valor disponível.,"favor verificar na are a de CEP caso não seja possivel entre em contato com a plataforma."
É a pilha?,"sim"
Boa tarde   se não for enviado hoje pode cancelar por favor .,"Ok!"
ola  acabei de realizar a compra de um aparelho,"bom dia! ok muito obrigada vamos enviar, muito obrigada pela preferencia."
Qual o tempo de garantia para o produto?,"bom dia! damos prazo de 90 dias e 7 pós recebimento com defeito do fabricante."
Por que minha compra foi cancelada?,"Não sei dizer"
Olá boa tarde Por favor me responda Qual tamanho da abraçadeira? Tem viva voz? Vem com o carregador elétrico?  Aguardo para finalizar minha compra,"O mesmo possui viva voz com carregador corretamente de tamanho unico e adaptavel."
Qual o tamanho da braçadeira?,"Ola, bom dia! O mesmo esta na descircao do anuncio"
Olá. Vem selado pelo Inmetro?,"Ola, bom dia! O mesmo e testado corretamente antes de qualquer envio."
Qual o valor do frete para 88820-000?,"O frete é calculado embaixo do valor do produto."
como posso mandar o comprovante... Estou precisando urgente... Já está pago.. Tem essa possiblidade.,"Deve aguardar o pedido ser confirmado pelo site"
o envio e imediato ?,"Olá boa noite. O envio é imediato. Pode comprar que eu envio amanhã mesmo"
ele vem com a braçadeira e a mangueira,"Sim vem com a abraçadeira e a mangueira"
Olá boa noite  tem opção de usar fonte de energia elétrica  quantos volts?,"Tem sim mais precisa comprar a fonte pois não vem com ele."
vcs tem a pronta entrega em estoque?,"sim , aguardo sua compra obrigado ."
tem viva voz?,"sim ,aguardo sua compra obrigado ."
Boa noite  esse medidor é de braço ou de pulso??,"Boa tarde! de braço"
Qual o prazo de garantia ??,"Boa tarde!! 3 meses."
esse medidor e de braço?,"sim ,aguardo sua compra ."
Certo. É que toda família é obesa praticamente e mais da metade tem hipertensão. No caso  se pedir uns 6 aparelhos  imaginei que vc pudesse mandar um link com frete gratis.,"é que o frete fica por conta da plataforma ."
Olá  quanta unidades eu tenho que comprar pra conseguir um frete grátis?,"não tenho acesso ao frete , isso é da plataforma , voce pode cimular ."
Da para obeso,"sim , aguardo sua compra obrigado ."
Tem braçadeira  universal,"acompanha uma ."
vende no atacado,"temos pronta entrega , aguardo sua compra obrigado ."
----
Pipoqueira Elétrica Lenoxx Ppc 953 Ar Quente Vermelho 1200w 127v
Question,Answer
Pode botar manteiga para derreter,"Boa tarde sim"
blusa trecou cravo e canela,"olá, boa tarde! não entendi sua pergunta."
Obrigada já comprei e sem frete. Boas vendas para vc.,"olá boa tarde! obrigado pela preferência."
Ela tem o recipiente para derreter manteiga?,"Boa tarde,sim"
Por que vcs não entregam por firmas terceirizadas?  Comprei uma batedeira nas casas Bahia no domingo e já chegou hoje,"olá,bom dia! só entregamos pelos correios."
O frete ta muito caro para campo grande MS,"Olá, boa tarde! Lamento, preços dos correio tornam nossa vidas difícil."
porque que eu escolho os produtos do mesmo vendedor. .sendo que 1 e frete grátis e o outro não . mas sendo 1 com o frete grátis porque os 2 não vem tem a opção de frete grátis,"Olá, bom dia! Olist é uma plataforma com várias empresas, onde uma pode comercializar o produto com frete free e a outra não, por isso que mesmo comprado 2 produtos na plataforma não vai ter frete free em ambos."
ola poderia me passar seu contato preciso falar sobre uma compra antiga .. obrigado,"Olá, bom dia! Favor entra em contato contato com o fabricante."
boa noite qual o tamanho do produto..... a tomada e mais grossa?,"Olá, boa tarde! 26cm, tomada padrão normal."
cabe quantas xícaras de milho,"Olá, boa tarde! Uma pequena, produto acompanha dosador."
CEP 42827990,"Olá, bom dia! Com meu login ficou R$ 20,88 mas e preciso fazer com o seu pois tenho desconto no mercado livre."
Bom dia  fica quanto pelo correio?,"Olá, bom dia! Para valor e prazo de entrega informe seu CEP no ato da compra para o sistema calcular o valor."
Derrete manteiga ?,"Olá, bom dia!Sim."
frete caro,"Olá, bom dia! Correios!"
frente caro,"Olá, bom dia! Correios!"
frete caro,"Olá, bom dia! Correios!"
vem com a pazinha medidora?,"Olá, bom dia! Sim."
Qual é o tempo máximo que posso deixa-la ligada ?,"Olá, bom dia! O tempo de uma medida de milho ser preparada, com descanso de 5 minutos."
BOM DIA FIZ UMA GRANDE LISTA DE PRODUTOS TEM COMO MANDAR NO MESMO FRETE ?,"Olá, bom dia! Infelizmente não, tivemos problemas com clientes que reclamavam ter recebido apenas uma peça e a justiça nos obriga a envia outra pois não temos como provar o envio das demais."
Qual o valor do frete pra meu cep 06783210,"Olá, bom dia! Para valor e prazo de entrega informe seu CEP no ato da compra."
tem garantia,"Olá, bom dia! Sim, 12 meses."
----
Cafeteira Hamilton Beach 43700 Branca/vermelha 220v
Question,Answer
Na voltagem de 220 tem na cor preta?,"Olá, Segue anúncio: https://produto.mercadolivre.com.br/MLB-1214214418-cafeteira-eletrica-hamilton-beach-43707bz-1l-preta-220v-_JM?searchVariation=35748677595#searchVariation=35748677595&position=13&type=item&tracking_id=657e38d1-d57c-42c6-ab32-fd79b917f6a9"
Olá ela é elétrica.ou fogão,"Olá, O modelo é elétrico."
não vi o campo de frete tem frete? 74215017,"Olá, É possível calcular o frete no próprio anúncio abaixo das formas de pagamento. Há opção normal que possui frete grátis e expresso que possui cobrança de valor."
Qual a potência de consumo de energia   quantos wats ?,"Olá, Esse modelo possui 565w de potência."
Qual a potência de consumo de energia   quantos wats ?,"Olá, O produto possui 565w de potência."
Estou me referindo à loja (Olist)  que me vendeu  pelo ML uma panela churrasqueira em 26/11 e até hoje não entregou e não responde à reclamação que eu abri,"Olá, Esse canal é contato direto com a marca. Nesse caso a nossa marca (Hamilton Beach) não possui acesso a venda de produtos de outras marcas e infelizmente não possuímos alçada para ajudar nessa tratativa. Orientamos que contate o SAC da Olist ou a marca do produto adquirido para obtenção do suporte."
Comprei uma panela churrasqueira há mais de mês com vocês. Não entregaram e não respondem à reclamação que foi aberta,"Olá, Nossa marca (Hamilton Beach) não possui churrasqueira em nossa linha de eletroportáteis, infelizmente não conseguimos auxiliar com seu pedido. Indicamos que contate a loja de compra ou a marca do produto adquirido para obter auxilio."
boa noite ! entao  estou em vila velha ! consigo buscar no local ou entregarem antes ?do natal,"Olá, A expedição ocorre do interior de São Paulo e infelizmente não trabalhamos com retiradas. Referente ao envio, depende da localidade. E também devido a alta demanda das ações da Black Friday os trâmites estão levando um tempo há mais para que ocorra as tratativas corretamente e o envio seja realizado com êxito e sem divergências."
Qual a altura da cafeteira.,"Olá, Ela possui 26,5 cm de altura."
Qual a altura da  cafeteira ?,"Olá, Ela possui 26,5 cm de altura."
tem 110v?,"Olá, Sim, possuímos nas duas voltagens 127v e 220v. Segue anúncio na voltagem 127v: https://produto.mercadolivre.com.br/MLB-1214220196-cafeteira-eletrica-hamilton-beach-43700bz-1l-vermelha-127v-_JM?searchVariation=45642824708#position=46&type=item&tracking_id=4780235a-eaa6-4ad4-99a1-bd59627c514e"
Gente boa  pode informar as medidas  altura e diâmetro? Grato.,"Olá, Segue medidas do produto: A x L 26,5 x 22,8 (cm)."
como funciona?,"Olá, Essa cafeteira possui dois reservatórios na parte de baixo (onde fica a água) ao esquentar a água sobre pelo filtro passando pelo pó e deixando o café preparado no reservatório de cima."
----
Pendrive Multilaser Twist Pd589 32gb Preto/prateado
Question,Answer
Manda um link,"https://produto.mercadolivre.com.br/MLB-1321463793-micro-sd-32gb-adaptador-usb-multilaser-garantia-10-anos-_JM?quantity=1"
Preciso de um cartão de memória de 32 gb e um adaptador você tem?,"temos sim o adaptador com cartão de memoria"
esse pen drive e original?ja comprei uma vez demorou pra chega e quando chegou ele não gravava o pen drive todo ele so 2,"Todos os nossos produtos da Multilaser são originais, garantia de fábrica de 1 ano pelo fabricante."
são originais  foi testado?,"Todos originais e novos, produtos lacrados."
tem cartão de memória também?,"Boa noite, temos sim, de quantos gb o senhor precisa?"
Porque o frete está tão caro ?,"Deve ser sua localização"
Porque o frete está tão caro ?,"Deve ser por conta do seu estado"
----
Caixa De Som Frahm Cm 600 Bt Portátil Sem Fio Preto 110v/220v
Question,Answer
Tem esse modelo de caixa mas lenox,"Olá, boa tarde. Não temos, só esta do anuncio."
Boa tarde! Tem  garantia  se tiver  de quanto tempo?,"Olá DANILO MSM, tudo bem? Um ano de garantia pelo fornecedor. Aguardamos seu pedido."
Mais como faz pq comprei com microfone e vcs estão dizendo que não vem com microfone,"Olá ROBERTOAMORIMFERREIRA, tudo bem? Não vendemos microfone. Vendemos apenas a caixa que tem conexão para Microfone. Poderia nos enviar o nº do seu pedido?"
ela vem com microfone? qual é a altura?,"Olá CARLOSALBERTODEOLIVEIRAALB, tudo bem? São 60 cm de altura, porem não vem com microfone, apenas tem a conexão. Aguardamos seu pedido."
Boa tarde qual o tamanho desta caixa de som.,"Olá RONALDOSANTOSBARBOSA15, tudo bem? Aproximadamente 60 cm de altura por 40 cm de largura. Aguardamos seu pedido."
Tenho o mercado de crédito  queria comprar por ele mas meu limite do tenho 300 vcs divide o resto no boleto,"Olá BAAL3939083, tudo bem? Você tem que optar por uma das duas formas de pagamento."
Vc tem o microfone,"Olá ROBERTOAMORIMFERREIRA, tudo bem? Infelizmente não, só trabalhamos com a Caixa Amplificada mesmo. Aguardamos seu pedido."
Ela grava? Caso sim  grava direto no pendrive ou é necessário um notebook (ou outro acessorio qualquer)?,"Olá LIGHTSANGELL, tudo bem? Ele não tem a função de gravador. Aguardamos seu pedido."
Como é o som dela ? Tem um bom grave ?,"Olá ANDRHENRIQUEDOSSANTOSALVES, tudo bem? Sim o produto é de alta qualidade e tem 600 watts de potência."
Então vou devolver pq eu preciso dela com apocão com o microfone,"Olá ROBERTOAMORIMFERREIRA, tudo bem? Na descrição do produto consta que há conexão para microfone, mas não vem incluído. Seguimos a disposição."
boa noite. consigo ligar dois microfones para karaokê?,"Olá FABRICIORICARDPESSOACHIGNOLL, tudo bem? Sim a caixa tem entrada para microfone. Aguardamos seu pedido."
da para ligar o som da tv nesta caixa?,"Olá CLAUDIOROBERT, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 possui Bluetooth, USB, SD Card, e FM / Auxiliar - Iphone, Ipod, Ipad, Tablets, Celulares, Mp3, CD, DVD, TV, Teclado e entrada P10 e P2 para Microfone, Violão, Cavaquinho. Aguardamos o seu pedido."
da para ligar está caixa no som da tv,"Olá CLAUDIOROBERT, tudo bem? A Caixa Amplificada Multiuso Frahm - Cm 600 possui Bluetooth, USB, SD Card, e FM / Auxiliar - Iphone, Ipod, Ipad, Tablets, Celulares, Mp3, CD, DVD, TV, Teclado e entrada P10 e P2 para Microfone, Violão, Cavaquinho. Aguardamos o seu pedido."
